epoch,hamiltonian,kinetic,potential,T/V Ratio
1,1.1535160938898723,0.3869841893513997,0.7665318995714188,0.504850730371129
2,1.213794305920601,0.46027333041032154,0.7535209854443868,0.610830141829264
3,0.8657110532124838,0.10660153887389849,0.7591095119714737,0.14042972350200827
4,1.05520964662234,0.30408606119453907,0.7511235922574997,0.404841579107653
5,0.7839432309071223,0.01995895376118521,0.763984277844429,0.026124822643600887
6,1.2667084534962971,0.5187697199483713,0.7479387372732162,0.6935992135394221
7,0.9547048509120941,0.19248885475099087,0.7622159967819849,0.25253846096600363
8,1.1248762259880702,0.37929826229810715,0.7455779810746511,0.5087305042879611
9,1.026787261168162,0.2831460212667783,0.743641252319018,0.3807562052048589
10,0.8385553558667501,0.07844959946426873,0.7601057489713033,0.10320879636871484
11,0.7559357583522797,0.006153148383115574,0.7497826168934504,0.008206576472271004
12,0.731587698062261,0.00029151022348135786,0.7312961866458257,0.00039862128205317616
13,0.7335626731316248,0.00019539930023408184,0.7333672692378362,0.0002664412613302932
14,0.7269863585631052,0.00020910302403838918,0.7267772555351257,0.0002877126691099142
15,0.7197131564219793,0.00047820450618019095,0.719234953324,0.0006648794027183075
16,0.7256883134444555,0.0026880371418277114,0.7230002780755361,0.0037178922655225813
17,0.7167918781439463,0.0057226122201730805,0.711069275935491,0.00804789689815292
18,0.740269680817922,0.033738223874631025,0.7065314551194509,0.047751906344958156
19,1.0900669346253078,0.3951475955545902,0.6949193328619003,0.5686236903602119
20,1.0575276613235474,0.3586378612866004,0.698889801899592,0.5131536621536297
21,0.7327612241109213,0.016945458444145817,0.7158157577117285,0.023672932960173882
22,0.7564621418714523,0.05885144074757894,0.6976107011238734,0.08436143633228012
23,1.0763651231924694,0.38339497925092775,0.6929701417684555,0.5532633459105556
24,0.8664791534344355,0.1803364378089706,0.6861427128314972,0.26282642726726385
25,1.0125068823496501,0.3285339369128148,0.683972954750061,0.480331765505068
26,0.8299529353777567,0.1460286498380204,0.6839242825905482,0.21351581389228852
27,0.9770314445098242,0.30132760231693584,0.6757038285334905,0.44594627052938307
28,0.9056697885195414,0.23123665930082402,0.6744331419467926,0.3428607595311008
29,0.8202378849188486,0.14607630406195918,0.6741615782181422,0.21667847706190765
30,0.9641385326782862,0.2944735785325368,0.6696649491786957,0.43973270348655874
31,0.7192066609859467,0.04958405625075102,0.6696226050456365,0.07404776343739432
32,0.9435106168190638,0.2820506940285365,0.6614599227905273,0.4264063238157166
33,0.9318876713514328,0.27443591753641766,0.6574517488479614,0.41742366343584275
34,0.8604503820339838,0.20952372377117476,0.6509266619880995,0.3218852998450467
35,0.7577187071243922,0.10748339630663395,0.6502353151639303,0.1652992290637681
36,0.757446676492691,0.11202525502691667,0.6454214255015055,0.17356916055253477
37,0.8303128729263941,0.17312196704248586,0.6571909089883169,0.26342720916360624
38,0.7338492174943289,0.09361449147885044,0.6402347212036451,0.14621901683628566
39,0.7334928760925928,0.10706525264928739,0.6264276256163915,0.17091400230623202
40,0.7017309168974558,0.06789651808018486,0.6338344067335129,0.10712027835486539
41,0.9595068693161011,0.3433341635391116,0.616172713538011,0.5572044266090854
42,1.1225230445464451,0.5026755646492044,0.6198474739988645,0.8109665453764924
43,0.9949744840463003,0.37294993425409,0.6220245560010275,0.5995742943844069
44,0.6862729042768478,0.07284345446775357,0.6134294420480728,0.11874789417434749
45,0.6588981449604034,0.03826812359814843,0.6206300258636475,0.061660122783933666
46,0.6745211109519005,0.06646552961319685,0.6080555791656176,0.10930831307296249
47,0.8564814478158951,0.26462647256751853,0.5918549795945486,0.447113704693
48,0.6133997266491255,0.022335704144400854,0.5910640234748522,0.03778897591007104
49,0.5854090601205826,0.00226774793312264,0.5831413120031357,0.003888848014099275
50,0.588707039753596,0.009728530421853065,0.5789785037438074,0.016802921626530454
51,0.5702823822697004,0.0011297620852322627,0.5691526234149933,0.001984989682474863
52,0.5651839325825373,0.005523597375334551,0.5596603328982989,0.00986955310327183
53,0.5673835923274358,0.003895936068147421,0.5634876564145088,0.00691396878671202
54,0.5681308433413506,0.009826276819997778,0.5583045706152916,0.017600208447458198
55,0.5545613070329031,0.0029844336834988403,0.5515768776337305,0.005410730225498367
56,0.5490554571151733,0.001830448949476704,0.5472250084082285,0.0033449658209172956
57,0.538768415649732,0.005190988051860283,0.5335774272680283,0.009728650026367644
58,0.5224633291363716,0.00048125108393530053,0.5219820812344551,0.0009219685909469759
59,0.5197213465968767,0.0009560147203349819,0.5187653327981631,0.0018428654728687127
60,0.5585284431775411,0.0454944142450889,0.5130340307950974,0.08867718614022914
61,0.814204603433609,0.30307129087547463,0.5111333181460699,0.5929398067313311
62,0.5657826115687689,0.06197266901047745,0.5038099437952042,0.12300803065464898
63,0.5022477532426516,0.00021645743709086673,0.5020312989751498,0.0004311632313219205
64,0.48430389910936356,0.0001731033962641959,0.4841307948033015,0.0003575550205074776
65,0.4856388072172801,0.006804902203536282,0.47883390635252,0.014211404232778951
66,0.5245813131332397,0.05163886289422711,0.4729424516359965,0.10918635600504588
67,0.5708418563008308,0.11401419434696436,0.4568276604016622,0.2495781324771759
68,0.6738516092300415,0.21499387423197427,0.4588577424486478,0.46854145488464743
69,0.825034444530805,0.37681624417503673,0.4482181866963704,0.8406982477716763
70,0.97967562576135,0.5296817496418953,0.44999387115240097,1.1770865862804298
71,0.936623548467954,0.5098093574245771,0.4268141910433769,1.1944526871946612
72,0.5368260815739632,0.11102170900752147,0.42580437411864597,0.26073407356916073
73,0.5581709990898768,0.1299033984541893,0.42826760311921436,0.30332296327823993
